param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_3,64,3,0.28240946,0.042350292,0.42723235,0.2349023,0.21823472,0.022904916,0.27207905,0.14427055,0.1324833,0.33681944
muP_3,64,4,0.29185846,0.0563846,0.50807214,0.2875018,0.250741,0.030835044,0.33737388,0.1885186,0.16175972,0.39831963
muP_3,64,5,0.2827212,0.05076499,0.47460082,0.26053253,0.22384223,0.025020612,0.29096428,0.16147996,0.14292645,0.35236576
muP_3,64,6,0.2758668,0.03610873,0.34328243,0.20008224,0.199501,0.027934818,0.28855214,0.14670591,0.12829994,0.3274207
muP_3,64,7,0.27573502,0.049436457,0.39910278,0.22346431,0.20809303,0.024372825,0.27489945,0.14141203,0.12057776,0.3099305
muP_3,64,8,0.27915958,0.045582857,0.43939188,0.24649855,0.20840234,0.02596702,0.2802333,0.14907128,0.13121812,0.3280922
muP_3,64,9,0.27176094,0.038884725,0.3518493,0.20282827,0.20182109,0.02589446,0.2886288,0.14613543,0.12870315,0.3207772
muP_3,128,0,0.27980185,0.03701914,0.41756567,0.23323397,0.20772153,0.01681287,0.2602795,0.13668929,0.12558217,0.32175416
muP_3,128,1,0.2730017,0.02954753,0.34350416,0.19207159,0.18242534,0.015717313,0.2555565,0.13333282,0.11729609,0.30025175
muP_3,128,2,0.2779636,0.030591339,0.36718917,0.21373035,0.20368621,0.012778024,0.22635701,0.11857258,0.1129475,0.2967934
muP_3,128,3,0.28296205,0.03040666,0.4051943,0.22325863,0.20427425,0.014588178,0.24388327,0.12543593,0.11317291,0.29764426
muP_3,128,4,0.28450468,0.03089353,0.37079233,0.2074361,0.19852905,0.013070313,0.21944445,0.11799904,0.11098669,0.29167435
muP_3,128,5,0.2761428,0.025343541,0.30889395,0.17703502,0.17951639,0.013322435,0.22042373,0.117732614,0.111410275,0.28905693
muP_3,128,6,0.2776308,0.030209307,0.37260902,0.21598798,0.20157245,0.015351366,0.2386897,0.12822875,0.11822378,0.3065254
muP_3,128,7,0.27992362,0.030384978,0.36597773,0.20709136,0.20213428,0.015171658,0.24223018,0.13050732,0.118728206,0.30846623
muP_3,128,8,0.276497,0.031613458,0.37903124,0.2120343,0.19102341,0.015677873,0.27984992,0.14497253,0.12298061,0.30844373
muP_3,128,9,0.27740023,0.023528323,0.31681117,0.17902377,0.17882712,0.01343317,0.21494086,0.115958214,0.11083055,0.28771132
muP_3,256,0,0.28023404,0.022819376,0.3627781,0.20164989,0.18876077,0.009688199,0.22016822,0.11683212,0.110488586,0.29284632
muP_3,256,1,0.2742148,0.017302716,0.3131804,0.17512546,0.17246266,0.008996341,0.20607866,0.11014198,0.103339195,0.27648407
